Tiempo: 0.0, Theta: 1.0, dTheta: 0.0
Tiempo: 1.021021021021021, Theta: 0.5380085929820986, dTheta: -0.810788395775689
Tiempo: 1.031031031031031, Theta: 0.5298723427791872, dTheta: -0.8153287901188313
Tiempo: 1.0410410410410411, Theta: 0.5216912857984468, dTheta: -0.8197826628078397
Tiempo: 1.0510510510510511, Theta: 0.513466276882927, dTheta: -0.8241496242674966
Tiempo: 1.0610610610610611, Theta: 0.5051981732521001, dTheta: -0.8284292958825654
Tiempo: 1.0710710710710711, Theta: 0.49688783450186125, dTheta: -0.8326213099977905
Tiempo: 1.0810810810810811, Theta: 0.4885361226045284, dTheta: -0.8367253099178975
Tiempo: 1.0910910910910911, Theta: 0.4801439019088424, dTheta: -0.840740949907593
Tiempo: 1.1011011011011012, Theta: 0.47171203913996707, dTheta: -0.8446678951915643
Tiempo: 1.1111111111111112, Theta: 0.4632414033994887, dTheta: -0.84850582195448
Tiempo: 1.1211211211211212, Theta: 0.45473286616541714, dTheta: -0.8522544173409897
Tiempo: 1.1311311311311312, Theta: 0.4461873012921842, dTheta: -0.855913379455724
Tiempo: 1.1411411411411412, Theta: 0.4376055850106452, dTheta: -0.8594824173632943
Tiempo: 1.1511511511511512, Theta: 0.42898859592807825, dTheta: -0.8629612510882934
Tiempo: 1.1611611611611612, Theta: 0.420337215028184, dTheta: -0.8663496116152947
Tiempo: 1.1711711711711712, Theta: 0.4116523256710863, dTheta: -0.8696472408888528
Tiempo: 1.1811811811811812, Theta: 0.40293481359333133, dTheta: -0.8728538918135036
Tiempo: 1.1911911911911912, Theta: 0.3941855669078889, dTheta: -0.8759693282537634
Tiempo: 1.2012012012012012, Theta: 0.38540547610415093, dTheta: -0.8789933250341301
Tiempo: 1.2112112112112112, Theta: 0.3765954340479328, dTheta: -0.8819256679390822
Tiempo: 1.2212212212212212, Theta: 0.3677563359814722, dTheta: -0.8847661537130795
Tiempo: 1.2312312312312312, Theta: 0.35888907952343013, dTheta: -0.8875145900605628
Tiempo: 1.2412412412412412, Theta: 0.34999456466889006, dTheta: -0.8901707956459535
Tiempo: 1.2512512512512513, Theta: 0.3410736937893586, dTheta: -0.8927346000936545
Tiempo: 1.2612612612612613, Theta: 0.3321273716327652, dTheta: -0.8952058439880494
Tiempo: 1.2712712712712713, Theta: 0.32315650532346174, dTheta: -0.8975843788735032
Tiempo: 1.2812812812812813, Theta: 0.3141620043622237, dTheta: -0.8998700672543615
Tiempo: 1.2912912912912913, Theta: 0.3051447806262487, dTheta: -0.9020627825949512
Tiempo: 1.3013013013013013, Theta: 0.29610574836915765, dTheta: -0.9041624093195798
Tiempo: 1.3113113113113113, Theta: 0.2870458242209941, dTheta: -0.9061688428125364
Tiempo: 1.3213213213213213, Theta: 0.2779659271882247, dTheta: -0.9080819894180907
Tiempo: 1.3313313313313313, Theta: 0.2688669786537385, dTheta: -0.9099017664404937
Tiempo: 1.3413413413413413, Theta: 0.25974990237684786, dTheta: -0.9116281021439769
Tiempo: 1.3513513513513513, Theta: 0.25061562449328784, dTheta: -0.9132609357527534
Tiempo: 1.3613613613613613, Theta: 0.24146507351521612, dTheta: -0.914800217451017
Tiempo: 1.3713713713713713, Theta: 0.23229918033121383, dTheta: -0.9162459083829426
Tiempo: 1.3813813813813813, Theta: 0.2231188782062843, dTheta: -0.9175979806526862
Tiempo: 1.3913913913913913, Theta: 0.21392510278185384, dTheta: -0.9188564173243845
Tiempo: 1.4014014014014013, Theta: 0.20471879207577204, dTheta: -0.9200212124221556
Tiempo: 1.4114114114114114, Theta: 0.195500886482311, dTheta: -0.9210923709300983
Tiempo: 1.4214214214214214, Theta: 0.1862723287721657, dTheta: -0.9220699087922928
Tiempo: 1.4314314314314314, Theta: 0.1770340640924537, dTheta: -0.9229538529127999
Tiempo: 1.4414414414414414, Theta: 0.1677870399667163, dTheta: -0.9237442411556613
Tiempo: 1.4514514514514514, Theta: 0.1585322062949165, dTheta: -0.9244411223449007
Tiempo: 1.4614614614614614, Theta: 0.14927051535344116, dTheta: -0.9250445562645214
Tiempo: 1.4714714714714714, Theta: 0.14000292179509932, dTheta: -0.9255546136585088
Tiempo: 1.4814814814814814, Theta: 0.13073038264912318, dTheta: -0.9259713762308289
Tiempo: 1.4914914914914914, Theta: 0.12145385732116765, dTheta: -0.9262949366454288
Tiempo: 1.5015015015015014, Theta: 0.11217430759331071, dTheta: -0.9265253985262363
Tiempo: 1.5115115115115114, Theta: 0.10289269762405273, dTheta: -0.9266628764571607
Tiempo: 1.5215215215215214, Theta: 0.0936099939483177, dTheta: -0.926707495982092
Tiempo: 1.5315315315315314, Theta: 0.08432716547745178, dTheta: -0.9266593936049015
Tiempo: 1.5415415415415414, Theta: 0.07504518349922384, dTheta: -0.926518716789441
Tiempo: 1.5515515515515514, Theta: 0.06576502167782672, dTheta: -0.9262856239595438
Tiempo: 1.5615615615615615, Theta: 0.05648765605387496, dTheta: -0.925960284499024
Tiempo: 1.5715715715715715, Theta: 0.04721406504440617, dTheta: -0.925542878751677
Tiempo: 1.5815815815815815, Theta: 0.03794522944288137, dTheta: -0.9250335980212786
Tiempo: 1.5915915915915915, Theta: 0.028682132419184048, dTheta: -0.9244326445715864
Tiempo: 1.6016016016016015, Theta: 0.019425759519620445, dTheta: -0.923740231626338
Tiempo: 1.6116116116116117, Theta: 0.010177098666919515, dTheta: -0.9229565833692532
Tiempo: 1.6216216216216217, Theta: 0.0009371401602338292, dTheta: -0.9220819349440319
Tiempo: 1.6316316316316317, Theta: -0.008293123324861651, dTheta: -0.9211165324543555
Tiempo: 1.6416416416416417, Theta: -0.017512696736369793, dTheta: -0.9200606329638863
Tiempo: 1.6516516516516517, Theta: -0.026720582645869406, dTheta: -0.9189145044962674
Tiempo: 1.6616616616616617, Theta: -0.03591578124851702, dTheta: -0.9176784260351232
Tiempo: 1.6716716716716717, Theta: -0.04509729036304655, dTheta: -0.9163526875240589
Tiempo: 1.6816816816816818, Theta: -0.05426410543176907, dTheta: -0.9149375898666607
Tiempo: 1.6916916916916918, Theta: -0.06341549993837152, dTheta: -0.9134333713555974
Tiempo: 1.7017017017017018, Theta: -0.07255239347663137, dTheta: -0.9118398130962181
Tiempo: 1.7117117117117118, Theta: -0.08167413992759302, dTheta: -0.9101570578149577
Tiempo: 1.7217217217217218, Theta: -0.09077973244328472, dTheta: -0.9083853477399031
Tiempo: 1.7317317317317318, Theta: -0.09986817125802784, dTheta: -0.9065249328047764
Tiempo: 1.7417417417417418, Theta: -0.10893846368843693, dTheta: -0.9045760706489353
Tiempo: 1.7517517517517518, Theta: -0.11798962413341965, dTheta: -0.9025390266173727
Tiempo: 1.7617617617617618, Theta: -0.12702067407417683, dTheta: -0.9004140737607174
Tiempo: 1.7717717717717718, Theta: -0.13603064207420246, dTheta: -0.898201492835233
Tiempo: 1.7817817817817818, Theta: -0.14501856377928368, dTheta: -0.8959015723028191
Tiempo: 1.7917917917917918, Theta: -0.15398348191750078, dTheta: -0.8935146083310105
Tiempo: 1.8018018018018018, Theta: -0.16292444629922714, dTheta: -0.8910409047929775
Tiempo: 1.8118118118118118, Theta: -0.17184051381712942, dTheta: -0.8884807732675258
Tiempo: 1.8218218218218218, Theta: -0.18073074844616727, dTheta: -0.8858345330390966
Tiempo: 1.8318318318318318, Theta: -0.18959422124359368, dTheta: -0.8831025110977665
Tiempo: 1.8418418418418419, Theta: -0.19843001034895458, dTheta: -0.8802850421392476
Tiempo: 1.8518518518518519, Theta: -0.20723720098408926, dTheta: -0.8773824685648873
Tiempo: 1.8618618618618619, Theta: -0.21601488545312997, dTheta: -0.8743951404816686
Tiempo: 1.8718718718718719, Theta: -0.22476216314250227, dTheta: -0.8713234157022098
Tiempo: 1.8818818818818819, Theta: -0.23347814052092478, dTheta: -0.8681676597447648
Tiempo: 1.8918918918918919, Theta: -0.24216193113940926, dTheta: -0.8649282458332229
Tiempo: 1.901901901901902, Theta: -0.25081265563126065, dTheta: -0.8616055548971088
Tiempo: 1.911911911911912, Theta: -0.25942944171207705, dTheta: -0.8581999755715826
Tiempo: 1.921921921921922, Theta: -0.26801142417974966, dTheta: -0.8547119041974398
Tiempo: 1.931931931931932, Theta: -0.27655774491446306, dTheta: -0.8511417448211116
Tiempo: 1.941941941941942, Theta: -0.28506755287869456, dTheta: -0.8474899091946646
Tiempo: 1.951951951951952, Theta: -0.2935400041172149, dTheta: -0.8437568167758005
Tiempo: 1.961961961961962, Theta: -0.3019742617570881, dTheta: -0.8399428947278567
Tiempo: 1.971971971971972, Theta: -0.31036949600767094, dTheta: -0.836048577919806
Tiempo: 1.981981981981982, Theta: -0.3187248841606136, dTheta: -0.8320743089262568
Tiempo: 1.991991991991992, Theta: -0.3270396105898596, dTheta: -0.8280205380274527
Tiempo: 2.002002002002002, Theta: -0.33531286675164523, dTheta: -0.8238877232092727
Tiempo: 2.012012012012012, Theta: -0.3435438511844999, dTheta: -0.8196763301632317
Tiempo: 2.022022022022022, Theta: -0.3517317695092466, dTheta: -0.8153868322864796
Tiempo: 2.032032032032032, Theta: -0.3598758344290011, dTheta: -0.8110197106818017
Tiempo: 2.042042042042042, Theta: -0.3679752657291726, dTheta: -0.8065754541576191
Tiempo: 2.052052052052052, Theta: -0.3760292902774631, dTheta: -0.8020545592279881
Tiempo: 2.062062062062062, Theta: -0.38403714202386807, dTheta: -0.7974575301126006
Tiempo: 2.0720720720720722, Theta: -0.39199806200067605, dTheta: -0.7927848787367836
Tiempo: 2.0820820820820822, Theta: -0.39991129832246863, dTheta: -0.7880371247315
Tiempo: 2.0920920920920922, Theta: -0.4077761061861206, dTheta: -0.7832147954333478
Tiempo: 2.1021021021021022, Theta: -0.41559174787079994, dTheta: -0.7783184258845607
Tiempo: 2.1121121121121122, Theta: -0.4233574927379678, dTheta: -0.7733485588330076
Tiempo: 2.1221221221221223, Theta: -0.4310726172313782, dTheta: -0.7683057447321929
Tiempo: 2.1321321321321323, Theta: -0.4387364048770789, dTheta: -0.7631905417412568
Tiempo: 2.1421421421421423, Theta: -0.44634814628341024, dTheta: -0.7580035157249743
Tiempo: 2.1521521521521523, Theta: -0.4539071391410059, dTheta: -0.7527452402537564
Tiempo: 2.1621621621621623, Theta: -0.46141268822279285, dTheta: -0.7474162966036493
Tiempo: 2.1721721721721723, Theta: -0.4688641053839911, dTheta: -0.7420172737563345
Tiempo: 2.1821821821821823, Theta: -0.4762607095621137, dTheta: -0.7365487683991293
Tiempo: 2.1921921921921923, Theta: -0.483601826776967, dTheta: -0.7310113849249862
Tiempo: 2.2022022022022023, Theta: -0.49088679013065045, dTheta: -0.7254057354324932
Tiempo: 2.2122122122122123, Theta: -0.49811493980755683, dTheta: -0.7197324397258738
Tiempo: 2.2222222222222223, Theta: -0.5052856230743715, dTheta: -0.7139921253149868
Tiempo: 2.2322322322322323, Theta: -0.5123981942800738, dTheta: -0.7081854274153265
Tiempo: 2.2422422422422423, Theta: -0.5194520148559356, dTheta: -0.7023129889480229
Tiempo: 2.2522522522522523, Theta: -0.5264464533155221, dTheta: -0.6963754605398409
Tiempo: 2.2622622622622623, Theta: -0.5333808852546917, dTheta: -0.6903735005231814
Tiempo: 2.2722722722722724, Theta: -0.5402546933515959, dTheta: -0.6843077749360804
Tiempo: 2.2822822822822824, Theta: -0.5470672673666794, dTheta: -0.6781789575222095
Tiempo: 2.2922922922922924, Theta: -0.5538180041426799, dTheta: -0.6719877297308755
Tiempo: 2.3023023023023024, Theta: -0.5605063076046286, dTheta: -0.6657347807170211
Tiempo: 2.3123123123123124, Theta: -0.5671315887598494, dTheta: -0.659420807341224
Tiempo: 2.3223223223223224, Theta: -0.5736932656979594, dTheta: -0.6530465141696976
Tiempo: 2.3323323323323324, Theta: -0.5801907635908694, dTheta: -0.6466126134742907
Tiempo: 2.3423423423423424, Theta: -0.5866235146927831, dTheta: -0.6401198252324873
Tiempo: 2.3523523523523524, Theta: -0.5929909583401966, dTheta: -0.6335688771274073
Tiempo: 2.3623623623623624, Theta: -0.5992925409519002, dTheta: -0.6269605045478056
Tiempo: 2.3723723723723724, Theta: -0.6055277160289768, dTheta: -0.6202954505880729
Tiempo: 2.3823823823823824, Theta: -0.6116959441548024, dTheta: -0.613574466048235
Tiempo: 2.3923923923923924, Theta: -0.6177966929950468, dTheta: -0.6067983094339534
Tiempo: 2.4024024024024024, Theta: -0.6238294372976722, dTheta: -0.599967746956525
Tiempo: 2.4124124124124124, Theta: -0.6297936588929339, dTheta: -0.5930835525328819
Tiempo: 2.4224224224224224, Theta: -0.6356888466933811, dTheta: -0.5861465077855921
Tiempo: 2.4324324324324325, Theta: -0.6415144966938557, dTheta: -0.5791574020428587
Tiempo: 2.4424424424424425, Theta: -0.6472701119714928, dTheta: -0.5721170323385203
Tiempo: 2.4524524524524525, Theta: -0.6529552026857203, dTheta: -0.565026203412051
Tiempo: 2.4624624624624625, Theta: -0.6585692860782596, dTheta: -0.5578857277085605
Tiempo: 2.4724724724724725, Theta: -0.6641118864731256, dTheta: -0.5506964253787934
Tiempo: 2.4824824824824825, Theta: -0.6695825352766258, dTheta: -0.5434591242791302
Tiempo: 2.4924924924924925, Theta: -0.6749807709773609, dTheta: -0.5361746599715871
Tiempo: 2.5025025025025025, Theta: -0.680306139146225, dTheta: -0.528843875723815
Tiempo: 2.5125125125125125, Theta: -0.6855581924364054, dTheta: -0.5214676225091006
Tiempo: 2.5225225225225225, Theta: -0.6907364905833818, dTheta: -0.5140467590063664
Tiempo: 2.5325325325325325, Theta: -0.6958406004049285, dTheta: -0.50658215160017
Tiempo: 2.5425425425425425, Theta: -0.7008700958011113, dTheta: -0.4990746743807041
Tiempo: 2.5525525525525525, Theta: -0.7058245577542902, dTheta: -0.4915252091437975
Tiempo: 2.5625625625625625, Theta: -0.710703574329118, dTheta: -0.48393464539091413
Tiempo: 2.5725725725725725, Theta: -0.7155067406725409, dTheta: -0.4763038803291532
Tiempo: 2.5825825825825826, Theta: -0.7202336590137982, dTheta: -0.46863381887124966
Tiempo: 2.5925925925925926, Theta: -0.7248839386644219, dTheta: -0.46092537363557395
Tiempo: 2.6026026026026026, Theta: -0.7294571960182377, dTheta: -0.45317946494613154
Tiempo: 2.6126126126126126, Theta: -0.7339530545513643, dTheta: -0.44539702083256366
Tiempo: 2.6226226226226226, Theta: -0.7383711448222131, dTheta: -0.43757897703014703
Tiempo: 2.6326326326326326, Theta: -0.7427111044714895, dTheta: -0.42972627697979354
Tiempo: 2.6426426426426426, Theta: -0.7469725782221912, dTheta: -0.421839871828051
Tiempo: 2.6526526526526526, Theta: -0.7511552178796096, dTheta: -0.4139207204271018
Tiempo: 2.6626626626626626, Theta: -0.7552586824221111, dTheta: -0.4059697890729039
Tiempo: 2.6726726726726726, Theta: -0.7592831101520658, dTheta: -0.3979866428239489
Tiempo: 2.6826826826826826, Theta: -0.763228573373976, dTheta: -0.38997088305893024
